RespID,Salary,Recognition,PTO,Insurance,FlexibleHours,OptoLearn
1,1,3,4,2,4,4
2,1,2,3,4,4,4
3,1,2,4,4,3,4
4,1,4,2,3,4,4
5,1,4,2,4,3,4
6,1,4,3,2,4,4
7,1,4,2,4,3,4
8,1,4,2,4,4,3
9,1,4,3,2,4,4
10,1,4,2,4,4,3
11,1,4,2,3,4,4
12,1,4,3,4,2,4
13,1,4,2,4,3,4
14,1,4,3,4,4,2
15,1,4,2,3,4,4
16,1,4,2,4,3,4
17,1,4,3,2,4,4
18,1,4,3,4,2,4
19,1,4,3,4,4,2
20,1,4,2,3,4,4
21,1,4,3,2,4,4
22,1,4,2,4,3,4
23,1,4,3,4,2,4
24,1,4,3,2,4,4
25,1,4,3,2,4,4
26,1,3,4,2,4,4
27,1,2,3,4,4,4
28,1,4,3,2,4,4
29,1,4,2,3,4,4
30,1,2,4,3,4,4
31,1,3,2,4,4,4
32,1,4,2,4,3,4
33,1,4,3,4,2,4
34,1,4,3,2,4,4
35,1,4,4,2,3,4
36,1,4,4,3,2,4
37,1,4,3,2,4,4
38,1,4,2,3,4,4
39,1,4,2,4,3,4
40,1,4,3,2,4,4
41,1,4,3,4,4,2
42,1,4,3,2,4,4
43,1,3,4,2,4,4
44,1,2,3,4,4,4
45,1,4,3,2,4,4
46,1,4,2,4,3,4
47,1,4,3,2,4,4
48,1,4,3,4,4,2
49,1,4,3,2,4,4
50,1,3,4,2,4,4
51,1,2,3,4,4,4
52,1,4,3,2,4,4
53,1,4,3,2,4,4
54,1,4,3,2,4,4
55,1,4,3,4,4,2
56,2,3,4,4,1,4
57,2,4,3,4,1,4
58,2,3,1,4,4,4
59,2,4,3,1,4,4
60,2,4,3,1,4,4
61,2,3,1,4,4,4
62,2,3,4,1,4,4
63,2,1,3,4,4,4
64,2,4,3,1,4,4
65,2,4,1,4,3,4
66,2,4,3,1,4,4
67,2,4,4,3,1,4
68,2,3,4,1,4,4
69,2,1,3,4,4,4
70,2,4,1,3,4,4
71,2,1,3,4,4,4
72,2,4,4,4,3,1
73,2,4,3,4,1,4
74,2,1,3,4,4,4
75,2,3,4,1,4,4
76,2,1,3,4,4,4
77,2,4,1,3,4,4
78,2,4,4,1,4,3
79,2,4,1,3,4,4
80,2,3,4,4,1,4
81,3,2,1,4,4,4
82,3,1,2,4,4,4
83,3,4,4,2,4,1
84,3,4,2,1,4,4
85,3,1,4,4,2,4
86,3,1,4,4,4,2
87,3,2,4,4,4,1
88,3,1,4,2,4,4
89,3,2,4,4,1,4
90,3,2,4,4,1,4
91,3,2,4,4,4,1
92,3,2,1,4,4,4
93,3,2,4,1,4,4
94,3,4,4,2,4,1
95,3,4,2,1,4,4
96,4,2,4,3,1,4
97,4,2,1,4,3,4
98,4,4,1,2,4,3
99,1,4,2,3,4,4
100,4,2,3,1,4,4
